Group Names,Entity Name,Capability Name,Template Name,Assessment Date,Assessment Number,Total Votes,Total Abstains,Rating,Dimension,Outcomes,Goal,Impediment,Comments,Prompts,Criteria,Criteria Stage,Criteria Selections,Criteria Percent Selected
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Agile Architecture","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.666600,Engineering,"Responsiveness; Time to Market; Reliability; Predictability",N,N,"02/01/2023 Team Member: We're organizing our architecture into basic modules, but complexity hinders us.","","The product leverages libraries","Developing",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Agile Architecture","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.666600,Engineering,"Responsiveness; Time to Market; Reliability; Predictability",N,N,"02/01/2023 Team Member: We're organizing our architecture into basic modules, but complexity hinders us.","","The product is organized into modules","Developing",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Agile Architecture","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.666600,Engineering,"Responsiveness; Time to Market; Reliability; Predictability",N,N,"02/01/2023 Team Member: We're organizing our architecture into basic modules, but complexity hinders us.","","There is lack of ability to easily change the codebase because of the complexity embedded","Starting",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Focus on Value","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.555500,Product,"Customer Satisfaction; Innovation; Time to Market; Responsiveness",N,N,"02/01/2023 Team Member: Value prioritization is a challenge. We understand the surface-level purpose but need structured methods to ensure what we deliver is valuable.","","There is a common understanding amongst team members of their purpose and the value they are creating","Developing",2,33.34
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Focus on Value","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.555500,Product,"Customer Satisfaction; Innovation; Time to Market; Responsiveness",N,N,"02/01/2023 Team Member: Value prioritization is a challenge. We understand the surface-level purpose but need structured methods to ensure what we deliver is valuable.","","There is lack of ability to prioritize and deliver value","Starting",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Focus on Value","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.555500,Product,"Customer Satisfaction; Innovation; Time to Market; Responsiveness",N,N,"02/01/2023 Team Member: Value prioritization is a challenge. We understand the surface-level purpose but need structured methods to ensure what we deliver is valuable.","","A wide range of contributors including those doing the work, are consulted in the prioritization and valuation","Developing",3,50.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Focus on Value","Team Product Agility",2/1/2023 12:00 AM,1,6,0,0.555500,Product,"Customer Satisfaction; Innovation; Time to Market; Responsiveness",N,N,"02/01/2023 Team Member: Value prioritization is a challenge. We understand the surface-level purpose but need structured methods to ensure what we deliver is valuable.","","The vision and goals of the product/initiative are used to drive backlog prioritization and refinement","Developing",5,83.34
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Measures","Team Product Agility",2/1/2023 12:00 AM,1,6,0,1.333300,Improvement,"Time to Market; Employee Satisfaction; Reliability; Innovation; Customer Satisfaction; Responsiveness; Predictability",N,N,"","","Metrics are tracked","Developing",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Measures","Team Product Agility",2/1/2023 12:00 AM,1,6,0,1.333300,Improvement,"Time to Market; Employee Satisfaction; Reliability; Innovation; Customer Satisfaction; Responsiveness; Predictability",N,N,"","","Metrics are frequently reviewed","Developing",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Measures","Team Product Agility",2/1/2023 12:00 AM,1,6,0,1.333300,Improvement,"Time to Market; Employee Satisfaction; Reliability; Innovation; Customer Satisfaction; Responsiveness; Predictability",N,N,"","","There is a lack of ability to use metrics for improvement and decision-making","Starting",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Measures","Team Product Agility",2/1/2023 12:00 AM,1,6,0,1.333300,Improvement,"Time to Market; Employee Satisfaction; Reliability; Innovation; Customer Satisfaction; Responsiveness; Predictability",N,N,"","","Flow Metrics (i.e., throughput, cycle time) are leveraged for work units (i.e., Epics, User Stories)","Emerging",6,100.00
"04. Digital Product Teams/1. Dashboards","1. Data Dynamos","Measures","Team Product Agility",2/1/2023 12:00 AM,1,6,0,1.333300,Improvement,"Time to Market; Employee Satisfaction; Reliability; Innovation; Customer Satisfaction; Responsiveness; Predictability",N,N,"","","Metrics are actionable and drive improvements","Developing",6,100.00
