Group Names,Entity Name,Capability Name,Template Name,Assessment Date,Assessment Number,Total Votes,Total Abstains,Rating,Dimension,Outcomes,Goal, Impediment,Notes,Criteria,Criteria Stage,Criteria Selections,Criteria Percent Selected
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The backlog is actively maintained and managed and seen as a dynamic list prioritized by value.","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Product Backlog Items have a description, order, size, and a clear explanation of the value they deliver.","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","The product (full) backlog contains all work required by the team *(A sprint backlog is a subset of the full product backlog that is committed for current sprint delivery)","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","No single, centralized and ordered source of what is needed exists for the team","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Refinement is reactionary and is ineffective, characterized by analysis paralysis","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Refinement sessions are working sessions which include story writing, decomposition, estimation and progressive understaning to reach a ready state.","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","Refinement occurs on cadence and timeboxed  to support conversation intended to established shared understanding of the intent of this work without analysis paralysis","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Backlogs @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Value Driven,"Time to Market; Customer Satisfaction; Employee Satisfaction; Innovation; Reliability; Responsiveness; Predictability",N,N,"","No refinement activitiy occurs on cadence","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Communication @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Customer Satisfaction; Employee Satisfaction; Responsiveness; Predictability",N,N,"","Team-based information radiators e.g. Status Reports, Rally,  are available, up-to-date and and accurate reflection of current state for full transparency","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Communication @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Customer Satisfaction; Employee Satisfaction; Responsiveness; Predictability",N,N,"","The team's progress and learnings are shared with partners and customers by externally facing roles e.g. Product Owners, Digital Transformation Specialists etc, in the program.","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Communication @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Customer Satisfaction; Employee Satisfaction; Responsiveness; Predictability",N,N,"","The overall view is that the team and management are the primary communicators; not the Product Owner or other customer-facing roles","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Communication @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Customer Satisfaction; Employee Satisfaction; Responsiveness; Predictability",N,N,"","Stakeholder and customer needs are clearly articulated to the team and the purpose of the request","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Communication @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Leadership,"Customer Satisfaction; Employee Satisfaction; Responsiveness; Predictability",N,N,"","Visual radiators (e.g. Rally - A radiator is a visual or tool where all team members can see the latest information) are not utilized leading to a lack of transparency","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Done @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","Helpful Resource: Team & Program Agreements & Examples","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Done @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","All team members and stakeholders are aware of the PBI Definition of Done, and agree it should be followed at all times","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Done @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","The team has a Definition of Done for PBIs completed in an iteration (i.e., Sprint)","Developing",1,50.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Done @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Responsiveness; Predictability",N,N,"","There is no list of criteria that needs to be met in order for our team to call a PBI done; otherwise known as the Definition of Done (DoD)","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Ready @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Predictability",N,N,"","Helpful Resource: Team & Program Agreements & Examples","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Ready @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Predictability",N,N,"","There are no criteria that define the readiness of a Product Backlog Item (PBI)","Starting",2,100.00
"Unum Group/DTO Organization/Enterprise Shared Services/Enterprise Data & Insights","EDI Crusaders","Definition of Ready @Unum","Agile Practices - Change Teams",4/4/2022 8:49 PM,1,2,0,0.500000,Quality,"Time to Market; Reliability; Predictability",N,N,"","The team sufficiently understands the details of each PBI before making an informed decision as to whether it can complete it","Developing",1,50.00
